data1
0.144	0.512	-1.080	0.004
-0.724	-0.202	0.549	0.009
0.890	-0.205	0.007	0.009
-0.687	-0.709	0.439	0.008
0.006	-0.016	1.157	0.010
-0.689	0.005	0.605	0.007
0.382	-0.768	0.380	0.001
-0.348	0.604	-0.961	0.005
-0.395	0.815	-0.576	0.003
0.924	-0.395	0.095	0.008
-0.261	0.864	-0.652	0.007
0.609	0.556	-0.663	0.006
-0.600	0.828	-0.315	0.001
0.956	0.187	-0.300	0.002
-0.375	-0.287	0.706	0.009
0.986	0.432	-0.386	0.003
-0.911	0.796	-0.055	0.000
0.242	0.776	-0.768	0.006
-0.034	-0.514	0.618	0.006
0.322	-0.762	0.404	0.004
0.611	-0.877	0.276	0.009
-0.492	-0.438	0.582	0.003
-0.732	-0.225	0.540	0.004
-0.287	-0.899	0.435	0.002
-0.795	-0.424	0.473	0.008
-0.149	0.497	-1.249	0.000
0.366	0.582	-0.852	0.009
0.951	-0.780	0.162	0.003
-0.429	-0.130	0.772	0.003
0.521	0.496	-0.766	0.007
-0.311	0.167	1.146	0.002
0.388	0.758	-0.717	0.008
-0.113	0.685	-0.928	0.004
0.599	-0.855	0.283	0.003
-0.412	-0.647	0.515	0.004
-0.008	0.245	1.556	0.004
-0.095	-0.099	1.000	0.002
-0.632	0.310	0.615	0.009
-0.491	0.133	0.864	0.010
0.787	0.155	-0.379	0.009
0.869	-0.365	0.108	0.009
-0.995	-0.510	0.393	0.008
0.989	-0.203	-0.024	0.004
-0.012	0.597	-1.041	0.008
0.522	-0.190	0.430	0.005
0.661	-0.214	0.188	0.004
0.680	0.331	-0.607	0.003
0.872	-0.743	0.185	0.001
-0.498	-0.410	0.592	0.009
-0.726	0.439	0.303	0.007
0.844	0.499	-0.484	0.009
0.309	-0.807	0.394	0.005
0.770	0.435	-0.533	0.003
0.779	0.763	-0.509	0.001
0.158	0.786	-0.786	0.003
-0.332	-0.823	0.459	0.002
-0.354	0.888	-0.563	0.002
-0.277	-0.963	0.415	0.007
0.766	-0.036	-0.134	0.007
-0.822	0.925	-0.156	0.007
-0.751	-0.076	0.549	0.004
-0.668	0.273	0.582	0.005
-0.836	-0.772	0.394	0.010
-0.641	0.480	0.269	0.009
0.400	0.799	-0.687	0.007
0.547	0.048	-0.602	0.004
0.189	0.009	1.275	0.001
0.664	0.752	-0.572	0.010
0.616	0.926	-0.541	0.002
0.098	0.301	-1.411	0.002
-0.976	-0.599	0.388	0.002
0.579	0.979	-0.536	0.008
-0.667	-0.247	0.571	0.002
-0.585	0.438	0.506	0.006
-0.154	-0.066	1.009	0.001
-0.258	-0.595	0.562	0.000
-0.695	-0.610	0.462	0.005
-0.778	-0.966	0.368	0.003
0.219	0.117	1.524	0.008
-0.028	-0.265	0.829	0.010
0.734	0.539	-0.565	0.004
-0.960	-0.582	0.395	0.002
0.426	0.463	-0.885	0.006
0.134	-0.497	0.601	0.007
-0.736	0.039	0.565	0.002
0.836	0.016	-0.197	0.004
0.901	-0.990	0.185	0.002
0.468	-0.224	0.536	0.003
-0.074	0.154	1.360	0.010
0.692	-0.949	0.244	0.005
0.663	0.028	-0.277	0.009
-0.160	0.876	-0.691	0.001
-0.993	-0.482	0.396	0.004
0.748	0.224	-0.476	0.000
-0.544	0.163	0.797	0.003
0.841	0.365	-0.460	0.007
-0.203	0.315	1.502	0.004
0.048	-0.122	1.014	0.000
-0.347	-0.012	0.923	0.009
0.951	0.680	-0.431	0.002
